[note 2025-10-05 12:48:24.338-0700] revisiond[125]  <private> starting, built @ Apr 18 2025 22:19:23
[ERR  2025-10-05 12:48:44.945-0700] revisiond[125]  [ImportCookie] Cant open cookie path, errno No such file or directory
[ERR  2025-10-05 12:48:44.945-0700] revisiond[125]  [ImportCookie] Found error while opening cookie, error: Error Domain=GSLibraryErrorDomain Code=2 UserInfo={NSDescription=<private>}.
[ERR  2025-10-05 12:48:54.246-0700] WeatherWidget[669]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:50:14.395-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:50:14.418-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:50:24.214-0700] analyticsd[148]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:50:24.222-0700] ReportCrash[867]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:50:24.253-0700] XProtectBridgeService[608]  error while getting ubiquityIdentityToken: Error Domain=NSCocoaErrorDomain Code=4099 UserInfo={NSDebugDescription=<private>}
[ERR  2025-10-05 12:55:53.874-0700] bird[1062]  config: failed to move downloaded cache file into place Error Domain=NSCocoaErrorDomain Code=4 UserInfo={NSSourceFilePathErrorKey=<private>, NSUserStringVariant=<private>, NSDestinationFilePath=<private>, NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x6d228c4b0 {Error Domain=NSPOSIXErrorDomain Code=2 "No such file or directory"}}
[ERR  2025-10-05 12:56:52.095-0700] bird[1062]  Got error reading the account DSID from '<private>': Error Domain=NSCocoaErrorDomain Code=260 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x6d228ff90 {Error Domain=NSPOSIXErrorDomain Code=2 "No such file or directory"}}
[ERR  2025-10-05 12:56:52.095-0700] bird[1062]  Got error reading the account DSID from '<private>': Error Domain=NSCocoaErrorDomain Code=260 UserInfo={NSFilePath=<private>, NSURL=<private>, NSUnderlyingError=0x6d228ff00 {Error Domain=NSPOSIXErrorDomain Code=2 "No such file or directory"}}
[ERR  2025-10-05 12:56:52.531-0700] bird[1062]  Can't delete <private>: No such file or directory(2)
[ERR  2025-10-05 12:56:52.531-0700] bird[1062]  Failed to remove folder at path <private> [2: No such file or directory]
[ERR  2025-10-05 12:56:52.646-0700] bird[1062]  Unable to exclude '<private>' from backups: Error Domain=NSCocoaErrorDomain Code=512 UserInfo={NSURL=<private>, NSFilePath=<private>, NSUnderlyingError=0x6d2171080 {Error Domain=NSOSStatusErrorDomain Code=100002}}
[ERR  2025-10-05 12:56:53.159-0700] bird[1062]  Can't delete <private>: No such file or directory(2)
[ERR  2025-10-05 12:56:53.159-0700] bird[1062]  Failed to remove folder at path <private> [2: No such file or directory]
