Filtering the log data using "subsystem == "com.apple.cloudkit" AND (composedMessage CONTAINS "shar" OR composedMessage CONTAINS "particip" OR composedMessage CONTAINS "zone" OR composedMessage CONTAINS "group")"
Timestamp                       (process)[PID]    
2025-10-14 17:14:29.010086-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:CK] TCC approved access for container containerID=com.apple.security.shared.keychain:Production, applicationID=<CKDApplicationID: 0xc6becaa30; containerAccess=com.apple.security.kcsharing, pushTopic=com.apple.security.kcsharing, applicationBundleID=com.apple.securityd>
2025-10-14 17:14:30.203101-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:CK] TCC approved access for container containerID=com.apple.clouddocs:Production, applicationID=<CKDApplicationID: 0xc6c5559e0; pushTopic=iCloud.com.omnigroup.OmniFocus, containerAccess=iCloud.com.omnigroup.OmniFocus, networkAttribution=iCloud.com.omnigroup.OmniFocus, applicationBundleID=com.apple.bird>
2025-10-14 17:14:30.213120-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:CK] TCC approved access for container containerID=com.apple.clouddocs:Production, applicationID=<CKDApplicationID: 0xc6c5564f0; pushTopic=iCloud.com.omnigroup.OmniGraffle, containerAccess=iCloud.com.omnigroup.OmniGraffle, networkAttribution=iCloud.com.omnigroup.OmniGraffle, applicationBundleID=com.apple.bird>
2025-10-14 17:14:30.222192-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:CK] TCC approved access for container containerID=com.apple.clouddocs:Production, applicationID=<CKDApplicationID: 0xc6c555d40; pushTopic=iCloud.com.omnigroup.OmniOutliner, containerAccess=iCloud.com.omnigroup.OmniOutliner, networkAttribution=iCloud.com.omnigroup.OmniOutliner, applicationBundleID=com.apple.bird>
2025-10-14 17:17:41.241539-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 55782CE2-EA04-4782-9F87-174964D05776, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:41.260490-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 1828D320-45D6-466B-98AF-8707AD1C25E3, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:41.768738-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: FE61D30F-84F7-499D-B2C1-017147735059, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:41.820075-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 512EEB28-2A81-493A-8618-07BCE6008EEB, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:41.979137-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 89E0D5C1-5041-478B-A166-CD8CFDDB6678, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:42.039263-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 3FC8333F-08E0-46D7-A45E-8CC16C27BC2B, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:42.198338-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: F0126FE9-FA2A-4AE8-AC7A-B0AC8567A745, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:42.527991-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 17882BF3-B3B1-4029-8A72-A0543EBBAE33, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
2025-10-14 17:17:43.155866-0700  localhost cloudd[84235]: (CloudKitDaemon) [com.apple.cloudkit:Request] req: 6D9BAF8A-B028-420C-9A51-E66FC1845276, "<private> Requires zone id gates, grabbing them from gatekeeper, expectDelay false"
